datetime,A Bus Voltage,A Current,Set Voltage,digital intput
2023-05-19 14:24:54.727139,0.92 V,-0.70 mA,0.50,618.65
2023-05-19 14:24:54.744521,0.92 V,-0.70 mA,0.50,618.65
2023-05-19 14:24:54.764674,0.92 V,-0.70 mA,0.50,618.65
2023-05-19 14:24:54.786167,0.92 V,-0.70 mA,0.50,618.65
2023-05-19 14:24:54.805111,0.92 V,-0.70 mA,0.50,618.65
2023-05-19 14:24:54.823839,0.92 V,-0.70 mA,0.50,618.65
2023-05-19 14:24:55.042637,0.92 V,-0.70 mA,0.50,618.65
2023-05-19 14:24:55.054652,0.92 V,-0.50 mA,0.50,618.65
2023-05-19 14:24:55.071561,0.92 V,-0.50 mA,0.50,618.65
2023-05-19 14:24:55.089281,0.92 V,-0.50 mA,0.50,618.65
