datetime,A Bus Voltage,A Current,Feed voltage in,Recirculation voltage in,Feed voltage set
2023-08-15 18:49:17.440920,1.09 V,60.80 mA,0.00,0.20,-2.80
2023-08-15 18:49:26.439295,1.09 V,60.80 mA,0.00,0.20,-2.80
2023-08-15 18:49:33.437377,1.09 V,60.80 mA,0.00,0.20,-2.80
2023-08-15 18:49:42.434676,1.09 V,60.80 mA,0.00,0.20,-2.80
2023-08-15 18:49:51.432888,1.09 V,60.80 mA,0.00,0.20,-2.80
2023-08-15 18:49:57.434648,1.08 V,60.80 mA,0.00,0.20,-2.80
2023-08-15 18:50:04.476739,32.00 V,61.60 mA,0.00,0.20,-2.80
2023-08-15 18:50:10.519632,0.00 V,60.80 mA,0.00,0.20,-2.80
2023-08-15 18:50:16.562335,0.00 V,23.30 mA,0.00,0.20,-2.80
2023-08-15 18:50:22.604954,32.00 V,60.80 mA,0.00,0.20,-2.80
2023-08-15 18:50:28.647587,0.00 V,53.20 mA,0.00,0.20,-2.80
2023-08-15 18:50:35.690235,0.00 V,61.10 mA,0.00,0.20,-2.80
2023-08-15 18:50:41.733883,1.12 V,60.60 mA,0.00,0.20,-2.80
2023-08-15 18:50:47.777029,11.59 V,61.40 mA,0.00,0.20,-2.80
2023-08-15 18:50:53.820178,0.00 V,55.40 mA,0.00,0.20,-2.80
2023-08-15 18:50:59.863680,1.09 V,55.30 mA,0.00,0.20,-2.80
2023-08-15 18:51:06.901841,32.00 V,61.70 mA,0.00,0.20,-2.80
2023-08-15 18:53:24.964097,0.00 V,23.40 mA,0.00,0.20,-2.80
2023-08-15 18:54:28.417503,0.00 V,60.80 mA,0.00,0.20,-2.80
2023-08-15 18:54:55.613510,0.00 V,54.10 mA,0.00,0.20,-2.80
2023-08-15 18:55:01.657707,32.00 V,60.50 mA,0.00,0.20,-2.80
2023-08-15 18:55:07.702295,0.00 V,54.20 mA,0.00,0.20,-2.80
2023-08-15 18:55:13.746013,17.49 V,60.80 mA,0.00,0.20,-2.80
2023-08-15 18:55:19.789482,0.00 V,61.00 mA,0.00,0.20,-2.80
2023-08-15 18:55:26.831922,0.00 V,23.40 mA,0.00,0.20,-2.80
2023-08-15 18:55:32.875704,19.25 V,60.90 mA,0.00,0.20,-2.80
2023-08-15 18:55:38.919522,0.00 V,54.20 mA,0.00,0.20,-2.80
2023-08-15 18:55:44.963507,29.81 V,60.70 mA,0.00,0.20,-2.80
2023-08-15 18:55:51.007212,0.00 V,60.80 mA,0.00,0.20,-2.80
2023-08-15 18:55:58.050592,1.10 V,52.90 mA,0.50,0.20,618.65
2023-08-15 18:56:04.093789,0.00 V,60.60 mA,0.50,0.20,618.65
2023-08-15 18:56:10.138136,1.11 V,57.00 mA,0.50,0.20,618.65
2023-08-15 18:56:16.181755,0.54 V,61.20 mA,0.50,0.20,618.65
2023-08-15 18:56:22.226479,0.09 V,23.50 mA,0.50,0.20,618.65
2023-08-15 18:56:29.269490,29.30 V,60.90 mA,0.50,0.20,618.65
2023-08-15 18:56:35.313615,0.00 V,53.80 mA,0.50,0.20,618.65
2023-08-15 18:56:41.358113,6.92 V,60.70 mA,0.50,0.20,618.65
2023-08-15 18:56:47.402880,1.12 V,26.60 mA,0.50,0.20,618.65
2023-08-15 18:56:53.447628,0.00 V,60.50 mA,0.50,0.20,618.65
2023-08-15 18:57:00.490724,0.00 V,61.20 mA,0.00,0.20,-2.80
2023-08-15 18:57:06.535101,32.00 V,60.20 mA,0.00,0.20,-2.80
2023-08-15 18:57:12.579946,0.00 V,109.00 mA,0.00,0.20,-2.80
2023-08-15 18:57:18.624871,5.61 V,119.90 mA,0.00,0.20,-2.80
2023-08-15 18:57:24.669671,1.05 V,51.20 mA,0.00,0.20,-2.80
2023-08-15 18:57:31.713239,0.00 V,120.50 mA,0.00,0.20,-2.80
2023-08-15 18:57:37.757356,1.08 V,113.40 mA,0.00,0.20,-2.80
2023-08-15 18:57:43.801614,0.00 V,120.70 mA,0.00,0.20,-2.80
